date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,72,0,42,0,14,0,0,31,52,15,0,41,0,100,0,0,45,25,60,21,0,0,56,31,0,59,0,64,0,34,0,0,0,0,0,0,0,0,0,7,51,87,73,24
2012-02-01,67,0,45,0,16,0,0,45,44,0,0,33,0,85,0,0,43,16,58,22,0,0,51,33,0,58,0,64,0,37,0,0,0,0,0,0,0,0,0,7,44,81,58,23
2012-03-01,67,0,51,0,15,0,0,22,45,17,0,36,0,93,0,0,39,17,53,23,0,0,47,30,0,65,0,61,0,35,0,0,0,0,0,0,0,0,0,9,50,53,65,22
2012-04-01,67,0,42,0,15,0,0,37,40,15,0,33,95,69,0,0,51,18,53,24,0,0,63,36,0,62,0,66,0,0,0,0,0,0,100,0,0,0,0,6,63,75,59,24
2012-05-01,62,0,50,0,10,0,0,32,41,18,0,33,0,66,0,0,52,13,52,28,0,85,51,32,0,56,0,62,0,31,0,0,0,0,0,0,0,55,0,6,52,88,65,22
2012-06-01,73,0,43,0,10,0,0,22,40,14,0,34,0,59,0,0,52,14,55,32,0,0,77,33,0,57,0,66,0,0,0,0,0,0,0,0,0,83,0,4,55,33,56,24
2012-07-01,87,0,41,0,9,0,0,24,42,12,0,37,0,58,0,0,50,23,52,33,0,0,58,34,0,57,0,53,0,0,0,0,0,0,0,0,0,100,0,0,19,31,35,22
2012-08-01,70,0,41,0,9,0,0,43,46,15,0,39,0,58,0,0,45,19,53,30,0,0,52,36,0,70,0,49,0,0,0,0,0,0,0,0,100,91,0,0,21,39,40,23
2012-09-01,65,0,41,0,12,0,0,63,45,18,0,36,0,57,0,0,46,25,59,23,0,0,42,37,0,66,0,49,0,0,0,0,0,0,0,0,0,0,0,5,30,60,49,23
2012-10-01,62,0,44,0,14,0,0,57,49,19,0,37,0,57,0,0,47,17,56,24,0,81,56,37,0,62,0,53,0,25,0,0,0,0,0,0,0,0,0,0,40,66,51,22
2012-11-01,59,0,50,0,12,0,0,43,43,0,0,36,0,54,0,0,47,18,55,16,0,0,69,35,0,64,0,58,0,0,0,0,0,0,0,0,0,0,0,7,46,57,55,22
2012-12-01,63,0,40,0,8,0,0,28,36,17,0,35,83,56,0,0,44,15,55,19,0,0,49,32,0,56,100,51,0,0,0,0,0,0,0,0,0,0,0,4,37,71,44,17
2013-01-01,58,0,50,0,12,0,0,43,40,20,0,34,0,48,0,0,45,23,54,23,0,0,49,31,0,68,0,48,0,31,0,0,0,0,0,0,0,49,0,6,37,50,47,25
